Name,google_rating,google_reviews
Interalpen - Chef's Table,4.8,1281.0
[aend],4.6,282.0
Mesnerhaus,4.6,177.0
Die Geniesserstube im Alpenhof,4.7,113.0
Gründler's Gourmet Stüberl,4.6,18.0
APRON,4.7,359.0
Berggericht,5.0,40.0
Hubertusstube,5.0,1.0
Guat'z Essen,4.9,252.0
Paznaunerstube,5.0,19.0
Sigwart's Tiroler Weinstuben,4.6,168.0
Guth,4.8,298.0
Mangold,4.8,542.0
Alpin Gourmet Stube,5.0,14.0
MAYER's Restaurant,4.7,67.0
Z'SOM,4.9,312.0
Esszimmer,4.8,375.0
Austria Stuben,5.0,1.0
Ötztaler Stube,4.7,29.0
Schlossherrnstube,,
Bruderherz Fine Dine,4.4,16.0
Gannerhof,4.6,153.0
Makris Athens,4.6,306.0
Tudor Hall,4.7,410.0
Botrini's,4.4,967.0
Patio,4.4,33.0
Hervé,4.9,780.0
Hytra,4.4,2018.0
CTC Urban Gastronomy,4.7,1160.0
Spondi,4.5,1223.0
The Zillers,4.4,1417.0
Pelagos,4.7,193.0
Soil,4.8,1001.0
Fleur de Sel,5.0,10.0
Langouste,4.6,578.0
IDAM by Alain Ducasse,4.5,208.0
Jamavar,4.5,256.0
Pajta,4.7,1174.0
Rumour,4.7,575.0
Salt,4.7,283.0
Borkonyha Winekitchen,4.6,2271.0
42,4.8,236.0
essência,4.8,589.0
Babel,4.6,491.0
Costes,4.5,571.0
Joo Ok,4.7,68.0
Shota Omakase,4.6,105.0
Bar Miller,4.9,32.0
Torrisi,4.6,602.0
Noz 17,4.4,74.0
63 Clinton,4.7,382.0
Rezdôra,4.3,1280.0
La Bastide by Andrea Calstier,4.7,26.0
Shmoné,4.3,402.0
Le Pavillon,4.6,704.0
Corima,4.5,127.0
Jua,4.8,577.0
One White Street,4.4,286.0
bōm,4.8,91.0
Red Paper Clip,4.3,251.0
Tuome,4.5,668.0
Dirt Candy,4.5,1362.0
Casa Mono,4.3,1603.0
Kosaka,4.5,278.0
Daniel,4.6,2206.0
Restaurant Yuu,4.4,163.0
The Four Horsemen,4.6,916.0
L’Abeille,4.6,218.0
Family Meal at Blue Hill,4.6,1232.0
Francie,4.5,525.0
Crown Shy,4.5,1441.0
Oxomoco,4.5,2035.0
Yoshino,4.4,134.0
Mari,4.5,384.0
Icca,4.6,101.0
Tsukimi,4.7,120.0
Sushi Amane,4.6,182.0
YingTao,4.7,137.0
The Musket Room,4.5,818.0
Sushi Ichimura,4.9,55.0
Oiji Mi,4.6,1015.0
Essential by Christophe,4.8,331.0
Gramercy Tavern,4.6,4239.0
Clover Hill,4.6,239.0
Meju,4.8,62.0
Sushi Nakazawa,4.5,1766.0
Semma,4.2,1146.0
Café Boulud,4.5,729.0
Kochi,4.6,841.0
Frevo,4.8,648.0
Nōksu,4.7,120.0
Le Coucou,4.5,1800.0
Estela,4.5,1328.0
Tempura Matsui,4.8,335.0
Jeju Noodle Bar,4.5,2020.0
Torien,4.6,221.0
Noda,4.8,143.0
Shion 69 Leonard Street,4.5,219.0
Cote,4.6,3583.0
Jōji,4.5,86.0
Xiquet,4.5,215.0
Rooster & Owl,4.7,788.0
Masseria,4.4,525.0
Métier,4.1,87.0
Elcielo Washington,4.4,264.0
Reverie,4.6,180.0
Causa,4.5,547.0
Bresca,4.5,750.0
Tail Up Goat,4.6,1227.0
Oyster Oyster,4.6,222.0
Pineapple and Pearls,4.7,488.0
Imperfecto: The Chef's Table,4.6,702.0
Sushi Nakazawa,4.7,408.0
Mita,4.7,112.0
Albi,4.7,720.0
Gravitas,4.2,596.0
Rose’s Luxury,4.7,1723.0
Rania,4.4,355.0
Little Pearl,4.5,645.0
Fiola,4.6,838.0
Omakase at Barracks Row,4.8,85.0
The Dabney,4.6,1183.0
Kinship,4.6,862.0
Cariño,5.0,80.0
Indienne,4.6,545.0
Elske,4.6,694.0
Esmé,4.5,279.0
Mako,4.5,297.0
Galit,4.5,735.0
Schwa,4.6,274.0
Atelier,4.7,98.0
EL Ideas,4.8,360.0
Topolobampo,4.5,696.0
Kasama,4.5,1534.0
Sepia,4.6,1351.0
Boka,4.7,1796.0
Next,4.6,587.0
Moody Tongue,4.5,549.0
