cuisine_type,google_rating,total_restaurants
"Modern French, Fusion",4.65,2
"World Cuisine, Creative French",4.65,2
"Californian, Modern Cuisine",4.65,2
"Piedmontese, Seafood",4.65,2
"Japanese, Japanese Contemporary",4.65,2
Meats and Seafood,4.65,4
"Mediterranean Cuisine, Swiss",4.65,2
"Regional Cuisine, Austrian",4.65,2
"Creative, Scandinavian",4.65,2
"Mediterranean Cuisine, Farm to table",4.65,8
"Campanian, Classic Cuisine",4.65,2
Umbrian,4.65,2
"Farm to table, Creative French",4.65,2
"Modern French, Contemporary",4.6500000000000000,4
"Korean, Contemporary",4.6500000000000000,14
"Contemporary, Creative",4.6500000000000000,29
"Creative, Classic Cuisine",4.6500000000000000,6
Modern British,4.644816053511710,301
"Modern Cuisine, International",4.644736842105260,38
"Creative, Innovative",4.644444444444440,9
"Regional Cuisine, International",4.644444444444440,9
Creative,4.644352159468440,603
British Contemporary,4.644,25
Seasonal Cuisine,4.6433333333333300,30
"Farm to table, Classic Cuisine",4.642857142857140,14
Classic French,4.641666666666670,72
Modern Cuisine,4.640977581771410,2733
"Scandinavian, Contemporary",4.64,5
Scandinavian,4.64,5
Korean Contemporary,4.64,5
"Italian Contemporary, Mediterranean Cuisine",4.64,5
"Asian Influences, Modern Cuisine",4.64,5
"Farm to table, French Contemporary",4.64,5
"Contemporary, Classic Cuisine",4.64,11
Asian and Western,4.64,5
"Sicilian, Modern Cuisine",4.638461538461540,13
"Classic Cuisine, Traditional Cuisine",4.6375,8
"Creative, Seafood",4.6375,8
"Country cooking, Contemporary",4.636842105263160,19
"Creative, Traditional Cuisine",4.633333333333330,6
"Creative, Organic",4.633333333333330,6
"International, Fusion",4.633333333333330,3
"Cuisine from the Aosta Valley, Classic Cuisine",4.633333333333330,3
"Country cooking, International",4.633333333333330,24
"Cantonese, Sichuan",4.633333333333330,3
"Emilian, Regional Cuisine",4.633333333333330,3
"Creative French, Fusion",4.633333333333330,3
"Steakhouse, American Contemporary",4.633333333333330,3
"Modern Cuisine, Campanian",4.633333333333330,3
"Traditional Cuisine, Seasonal Cuisine",4.633333333333330,7
"Modern Cuisine, Mediterranean Cuisine",4.632432432432430,37
"Traditional Cuisine, Classic Cuisine",4.63125,17
"Country cooking, Modern Cuisine",4.630952380952380,43
"Japanese, Sushi",4.628947368421050,114
"Country cooking, Farm to table",4.628571428571430,64
"International, Farm to table",4.628571428571430,21
Lombardian,4.628571428571430,7
"Creative, Italian Contemporary",4.628571428571430,7
"International, Regional Cuisine",4.628571428571430,7
"Malaysian, Contemporary",4.628571428571430,7
"French, Modern Cuisine",4.628571428571430,7
Modern French,4.628089887640450,179
"Creative, Contemporary",4.628,75
"Modern Cuisine, Classic Cuisine",4.628,25
"Seasonal Cuisine, Regional Cuisine",4.627272727272730,11
Farm to table,4.625510204081630,198
"Modern Cuisine, Asian",4.625,4
"Farm to table, Contemporary",4.625,12
Central Asian,4.625,4
"Fusion, Asian Influences",4.625,4
"Country cooking, Classic Cuisine",4.623529411764710,17
"International, Modern Cuisine",4.6230769230769200,13
"Italian, American",4.62,5
"Mexican, Creative",4.62,5
"Modern Cuisine, Classic French",4.62,5
"Tuscan, Contemporary",4.620000000000000,5
Fusion,4.619696969696970,66
"Modern French, Farm to table",4.618181818181820,11
"Country cooking, Creative",4.615384615384620,26
"Regional Cuisine, Classic Cuisine",4.615,20
"Country cooking, Traditional Cuisine",4.614634146341460,43
"Tuscan, Modern Cuisine",4.614285714285710,8
"Campanian, Contemporary",4.614285714285710,7
"Modern Cuisine, Traditional Cuisine",4.611538461538460,26
"Vegetarian, Vegan",4.611111111111110,9
"Traditional Cuisine, Contemporary",4.61,10
"Modern Cuisine, Italian Contemporary",4.609090909090910,11
"Classic Cuisine, Seasonal Cuisine",4.609090909090910,22
"Contemporary, Mediterranean Cuisine",4.607407407407410,27
"Contemporary, Regional Cuisine",4.606896551724140,29
"Italian, Modern Cuisine",4.6045454545454500,22
Italian Contemporary,4.603030303030300,100
"Farm to table, Regional Cuisine",4.6000000000000000,22
"Grills, Argentinian",4.6000000000000000,3
Regional European,4.6000000000000000,3
"Farm to table, French",4.6000000000000000,3
American Contemporary,4.6000000000000000,3
"Modern Cuisine, Meats and Grills",4.6000000000000000,3
Vietnamese Contemporary,4.6000000000000000,11
"Mediterranean Cuisine, French Contemporary",4.6000000000000000,3
"Classic French, Regional Cuisine",4.6000000000000000,3
"Tuscan, Meats and Grills",4.6000000000000000,3
"Italian, International",4.6000000000000000,3
"Barbecue, American",4.6000000000000000,6
"Modern Cuisine, Seafood",4.6000000000000000,19
"Traditional Cuisine, Country cooking",4.6000000000000000,14
"Contemporary, American Contemporary",4.6,8
"Cuisine from Lazio, Creative",4.6,1
"Modern Cuisine, Innovative",4.6,5
"Cuisine from the Aosta Valley, Modern Cuisine",4.6,2
"Japanese, Farm to table",4.6,1
"Steakhouse, Contemporary",4.6,2
"Japanese, Creative",4.6,4
"Creative, Catalan",4.6,1
"Ramen, Japanese",4.6,2
"Japanese, Yakitori",4.6,1
"Grills, International",4.6,2
"Mexican, Seafood",4.6,8
"Classic Cuisine, Irish",4.6,1
"French Contemporary, Modern Cuisine",4.6,2
"Mediterranean Cuisine, Asian",4.6,1
"Teppanyaki, Asian Influences",4.6,1
"World Cuisine, Contemporary",4.6,1
"Middle Eastern, Fusion",4.6,1
"Peruvian, Regional Cuisine",4.6,1
"Piedmontese, Country cooking",4.6,1
"Middle Eastern, Mediterranean Cuisine",4.6,2
"Seafood, Meats and Grills",4.6,1
"French, Fusion",4.6,1
"Mediterranean Cuisine, Lebanese",4.6,1
Armenian,4.6,2
"Meats and Grills, Creative",4.6,1
"Ligurian, Creative",4.6,2
"Italian, North American",4.6,1
"Chinese, American",4.6,1
"Asian, Taiwanese",4.6,1
"Scandinavian, Country cooking",4.6,1
"American, French",4.6,2
"Campanian, Italian Contemporary",4.6,1
"Seasonal Cuisine, Austrian",4.6,2
"Contemporary, Korean Contemporary",4.6,1
"Seafood, Friulian",4.6,1
"Venetian, Country cooking",4.6,1
"Unagi / Freshwater Eel, Japanese",4.6,1
"Apulian, Traditional Cuisine",4.6,4
"Piedmontese, Italian",4.6,1
"Tonkatsu, Yoshoku",4.6,1
"Ligurian, Traditional Cuisine",4.6,2
"Vietnamese, French",4.6,2
"Meats and Grills, Regional Cuisine",4.6,2
